Product_url,Product_name,Brand,Sale_price,MRP,Discount_percentage,Memory,No_of_ratings,No_of_reviews,Star_rating,Description
https://www.flipkart.com/apple-watch-series-8-gps/p/itmf9b88c0762b00?pid=SMWGHWZ2GNZQUZCE&lid=LSTSMWGHWZ2GNZQUZCEBLQNJG&marketplace=FLIPKART&store=ajy%2Fbuh&srno=b_1_11&otracker=browse&fm=organic&iid=69d1a2ea-01bb-4721-949a-cd7ce0d928eb.SMWGHWZ2GNZQUZCE.SEARCH&ppt=None&ppn=None&ssid=8ee5i63nn40000001668431667522,APPLE Watch Series 8 GPS,APPLE,"45,900","45,900",0,32 ,63,5,4.3,No description available
https://www.flipkart.com/apple-watch-se/p/itm414f297d332e1?pid=SMWFVNKGTKCRPKHW&lid=LSTSMWFVNKGTKCRPKHWHGXYFX&marketplace=FLIPKART&store=ajy%2Fbuh&srno=b_1_12&otracker=browse&fm=organic&iid=69d1a2ea-01bb-4721-949a-cd7ce0d928eb.SMWFVNKGTKCRPKHW.SEARCH&ppt=None&ppn=None&ssid=8ee5i63nn40000001668431667522,APPLE Apple Watch SE,APPLE,"29,900","29,900",0,32 ,"4,656",324,4.6,No description available
https://www.flipkart.com/apple-watch-series-3-gps-38mm-space-grey-aluminium-case-black-sport-band/p/itmc50d68ba8ca0c?pid=SMWF94AYYE5HXTGY&lid=LSTSMWF94AYYE5HXTGYF8W2C3&marketplace=FLIPKART&store=ajy%2Fbuh&srno=b_1_13&otracker=browse&fm=organic&iid=69d1a2ea-01bb-4721-949a-cd7ce0d928eb.SMWF94AYYE5HXTGY.SEARCH&ppt=None&ppn=None&ssid=8ee5i63nn40000001668431667522,"APPLE Watch Series 3 (GPS, 38mm) - Space Grey Aluminium Case with Black Sport Band",APPLE,"20,900","20,900",0,8 ,"54,998","4,837",4.6,"Check your heart rate, and get notifications for low and high heart rate and irregular rhythm. Measure your workouts, and track and share your activity. Take calls, send and receive messages, and listen to your favourite songs from Apple Music. Apple Watch Series 3 lets you do it all right from your wrist."
https://www.flipkart.com/apple-watch-se-gps-cellular-40mm-gold-aluminium-case-starlight-sport-band/p/itme6f5895d49a98?pid=SMWG6VNRTPZYXXHY&lid=LSTSMWG6VNRTPZYXXHYURVEC9&marketplace=FLIPKART&store=ajy%2Fbuh&srno=b_1_14&otracker=browse&fm=organic&iid=69d1a2ea-01bb-4721-949a-cd7ce0d928eb.SMWG6VNRTPZYXXHY.SEARCH&ppt=None&ppn=None&ssid=8ee5i63nn40000001668431667522,"APPLE Watch SE (GPS + Cellular, 40mm) - Gold Aluminium Case with Starlight Sport Band",APPLE,"33,900","33,900",0,32 ,"3,277",245,4.6,"With powerful features to help keep you connected, active, healthy and safe, Apple Watch SE is a lot of watch. For a lot less than you expected."
https://www.flipkart.com/apple-watch-se-gps-40mm-gold-aluminium-case-starlight-sport-band-regular/p/itm95c1d8b0f316b?pid=SMWG6VNR6QE87QYY&lid=LSTSMWG6VNR6QE87QYYJAV113&marketplace=FLIPKART&store=ajy%2Fbuh&srno=b_1_15&otracker=browse&fm=organic&iid=69d1a2ea-01bb-4721-949a-cd7ce0d928eb.SMWG6VNR6QE87QYY.SEARCH&ppt=None&ppn=None&ssid=8ee5i63nn40000001668431667522,"APPLE Watch SE (GPS, 40mm) - Gold Aluminium Case with Starlight Sport Band - Regular",APPLE,"29,601","29,900",1,32 ,"4,656",324,4.6,"With powerful features to help keep you connected, active, healthy and safe, Apple Watch SE is a lot of watch. For a lot less than you expected."
https://www.flipkart.com/apple-watch-series-3-gps-42mm-silver-aluminium-case-white-sport-band/p/itm0af8fb58c02b9?pid=SMWF94AYH8F2CEXR&lid=LSTSMWF94AYH8F2CEXR7Y2328&marketplace=FLIPKART&store=ajy%2Fbuh&srno=b_1_16&otracker=browse&fm=organic&iid=69d1a2ea-01bb-4721-949a-cd7ce0d928eb.SMWF94AYH8F2CEXR.SEARCH&ppt=None&ppn=None&ssid=8ee5i63nn40000001668431667522,"APPLE Watch Series 3 (GPS, 42mm) - Silver Aluminium Case with White Sport Band",APPLE,"22,900","23,900",4,8 ,"54,998","4,837",4.6,"Check your heart rate, and get notifications for low and high heart rate and irregular rhythm. Measure your workouts, and track and share your activity. Take calls, send and receive messages, and listen to your favourite songs from Apple Music. Apple Watch Series 3 lets you do it all right from your wrist."
https://www.flipkart.com/apple-watch-series7-gps-45mm-green-aluminium-case-clover-sport-band/p/itm099d3f34c0a33?pid=SMWG7BG2GZVGDQM9&lid=LSTSMWG7BG2GZVGDQM9PWJU9V&marketplace=FLIPKART&store=ajy%2Fbuh&srno=b_1_17&otracker=browse&fm=organic&iid=69d1a2ea-01bb-4721-949a-cd7ce0d928eb.SMWG7BG2GZVGDQM9.SEARCH&ppt=None&ppn=None&ssid=8ee5i63nn40000001668431667522,"APPLE Watch Series7 (GPS, 45mm) - Green Aluminium Case with Clover Sport Band",APPLE,"44,900","44,900",0,32 ,"2,472",145,4.6,"The largest, most advanced Always-on Retina display yet makes everything you do with your Apple Watch Series 7 bigger and better. Series 7 is the most durable Apple Watch ever built, with an even more crack-resistant front crystal. Advanced features let you measure your blood oxygen level, take an ECG anytime, and access mindfulness and sleep tracking apps. You can also track dozens of workouts, including new tai chi and pilates."
https://www.flipkart.com/apple-watch-series7-gps-cellular-41mm-green-aluminium-case-clover-sport-band/p/itm6e48b78f315cd?pid=SMWG7BG2EAJRFGPA&lid=LSTSMWG7BG2EAJRFGPA76OMRT&marketplace=FLIPKART&store=ajy%2Fbuh&srno=b_1_18&otracker=browse&fm=organic&iid=69d1a2ea-01bb-4721-949a-cd7ce0d928eb.SMWG7BG2EAJRFGPA.SEARCH&ppt=None&ppn=None&ssid=8ee5i63nn40000001668431667522,"APPLE Watch Series7 (GPS + Cellular, 41mm) - Green Aluminium Case-Clover Sport Band",APPLE,"45,900","50,900",9,32 ,"1,364",105,4.5,"The largest, most advanced Always-on Retina display yet makes everything you do with your Apple Watch Series 7 bigger and better. Series 7 is the most durable Apple Watch ever built, with an even more crack-resistant front crystal. Advanced features let you measure your blood oxygen level, take an ECG anytime, and access mindfulness and sleep tracking apps. You can also track dozens of workouts, including new tai chi and pilates."
https://www.flipkart.com/apple-watch-series7-gps-cellular-45mm-blue-aluminium-case-abyss-blue-sport-band/p/itmb73311f3df46d?pid=SMWG7BG2SPAYTFTX&lid=LSTSMWG7BG2SPAYTFTXK8KQDP&marketplace=FLIPKART&store=ajy%2Fbuh&srno=b_1_19&otracker=browse&fm=organic&iid=69d1a2ea-01bb-4721-949a-cd7ce0d928eb.SMWG7BG2SPAYTFTX.SEARCH&ppt=None&ppn=None&ssid=8ee5i63nn40000001668431667522,"APPLE Watch Series7 (GPS + Cellular, 45mm)Blue Aluminium Case-Abyss Blue Sport Band",APPLE,"53,900","53,900",0,32 ,"1,364",105,4.5,"The largest, most advanced Always-on Retina display yet makes everything you do with your Apple Watch Series 7 bigger and better. Series 7 is the most durable Apple Watch ever built, with an even more crack-resistant front crystal. Advanced features let you measure your blood oxygen level, take an ECG anytime, and access mindfulness and sleep tracking apps. You can also track dozens of workouts, including new tai chi and pilates."
https://www.flipkart.com/apple-watch-series-8-gps/p/itmdf796cc5f0c6f?pid=SMWGHWZ2C3MMKPXW&lid=LSTSMWGHWZ2C3MMKPXWJUXLTM&marketplace=FLIPKART&store=ajy%2Fbuh&srno=b_1_20&otracker=browse&fm=organic&iid=69d1a2ea-01bb-4721-949a-cd7ce0d928eb.SMWGHWZ2C3MMKPXW.SEARCH&ppt=None&ppn=None&ssid=8ee5i63nn40000001668431667522,APPLE Watch Series 8 GPS,APPLE,"48,900","48,900",0,32 ,63,5,4.3,No description available
